id;name;category;avg;orders
391;Masilla Supermastick Balde X 14 kg;Masillas;4.696891;892
392;Masilla Supermastick Galón X 5.6Kg;Masillas;7.640207;1,194
393;Masilla Supermastick Caja X 28 Kg;Masillas;7.54791;573
510;Vinilo Fino Blanco Tipo 1 x 2.5 Gal / Balde;Pinturas para interiores;3.157784;424
511;Vinilo Fino Blanco Tipo 1 5 Gal / Cuñete;Pinturas para interiores;4.294884;1,029
513;Vinilo Tipo 2 Corriente Blanco x 2.5 Gal / Balde;Pinturas para interiores;8.506386;434
514;Vinilo Tipo 2 Corriente Blanco x 5 Gal/ Cuñete;Pinturas para interiores;3.779885;735
882;Perfil Entrepiso Hot Rolled x 6m - Esp 1.40mm;Perfiles Estructurales;21.725933;696
915;Cemento Super Resistente Presentación 50 kg;Cementos;38.430459;3,990
918;Varilla G-60 W 11 Mm 6 Mts;Varillas;122.799396;731
922;Varilla g-60 W 9 mm x6m Corrugada;Varillas;111.08121;363
941;Sika 1 1 kg;Aditivos Impermeabilizantes;4.5625;489
1062;Sikaflex Universal Blanco x 300 mL;Siliconas;4.995736;485
1063;Sikaflex Universal Gris x 300 mL;Siliconas;4.695291;395
1134;Cemento Tipo Ug 50 kg;Cementos;32.539806;331
2018;Cemento Uso General Gris x 50kg;Cementos;12.70216;2,663
2364;Cemento UG x 50Kg;Cementos;27.788557;568
2784;Varilla Corrugada 12mm x 6m;Varillas;100.782213;607
2786;"Varilla corrugada G60 1/2"" x 6 m";Varillas;146.551587;367
3427;Masilla Supermastick Cuñete x 28 Kg;Masillas;9.116388;2,245
3586;Varilla Corrugada G-60 12mm x 6 m;Varillas;137.59738;438
3587;"Varilla Corrugada G-60 1/2"" x 6 m";Varillas;119.540451;564
